ECLID	DESCRIPTION	QTY	SALES	COGS-GP	GP-PCT
11983	WIRE-GRD 12E 12X12 GUTTER END FTG	2	23.63	4.73	20.0
16473	WIRE-GRD 16164E SCR CVR BOX	4	128.70	25.74	20.0
11992	WIRE-GRD 18184NKRTSCE SCR CVR BOX	1	42.16	3.71	8.8
27278	WIRE-GRD 412NKSCG 4X4X12 SCR CV GTR	2	11.70	2.34	20.0
12023	WIRE-GRD 424NKSCG 4X4X24 SC CVR GTR	1	9.21	1.84	20.0
12042	WIRE-GRD 4FE 4X4 GUTTER END NO/KO	6	12.30	2.46	20.0
12068	WIRE-GRD 666NKSCE SCR CVR BOX NO KO	23	151.52	33.39	22.0
12077	WIRE-GRD 6C GUTTER COUPLING	2	6.13	1.33	21.7
12082	WIRE-GRD 6L90C 90DEG ELBOW	1	17.94	3.59	20.0
12096	WIRE-GRD 884SCE SCR CVR BOX W/KO	12	78.60	17.52	22.3
12101	WIRE-GRD 886NKSCE SCR CVR BOX	1	9.43	2.18	23.1
12280	WIREMOLD G2010A2 3-IN ENTRANCE END	2	8.90	1.48	16.6
12312	WIREMOLD G4017 GRY INTERNAL ELBOW	2	24.48	4.64	19.0
