ECLID	DESCRIPTION	QTY	SALES	COGS-GP	GP-PCT
39651	DOTTIE #272 ORN INVERT-A-CAP PAINT	2	7.07	1.55	21.9
3837	DOTTIE 200MT 2-IN MASKING TAPE	2	7.26	2.80	38.6
21161	DOTTIE 200MTBLUE 2X60 MASKING TAPE	1	12.36	3.00	24.3
3840	DOTTIE 210-2X100 10MIL WRAP TAPE	1	5.49	1.33	24.2
3855	DOTTIE 2AK ANCHOR KIT W/2-WAY SCR	1	6.29	1.87	29.7
3882	DOTTIE 360 3/4X60FT PVC TAPE	79	57.35	17.85	31.1
27621	DOTTIE 360BLU ELECTRICAL TAPE	1	1.77	0.43	24.3
27624	DOTTIE 360RED ELECTRICAL TAPE	1	1.77	0.43	24.3
3922	DOTTIE 632-PS PHIL SL MACH SCR KIT	1	12.70	4.06	32.0
3923	DOTTIE 6502-P 6500FT PULL LINE-PAIL	1	35.46	9.88	27.9
3926	DOTTIE 68 1/8X6X8 INS PAD	500	295.00	60.30	20.4
3930	DOTTIE 832-PS COMBO-HEAD SCR KIT	1	13.73	4.39	32.0
52832	DOTTIE BATAAACARD AAA BATT 4-PACK	7	17.64	10.22	57.9
3942	DOTTIE BC100 1-IN AL COND BODY CVR	6	9.06	2.18	24.1
3943	DOTTIE BC125/150 1-1/4&1-1/2 CVR	4	8.77	2.14	24.4
3944	DOTTIE BC200 2-IN AL COND BODY CVR	6	23.44	5.69	24.3
3947	DOTTIE BC50 1/2 AL COND BODY CVR	2	1.66	0.40	24.1
3948	DOTTIE BC75 3/4 AL COND BODY CVR	7	8.26	2.05	24.8
3951	DOTTIE BK38 3/8-16 BEAM CLAMP	6	10.34	2.51	24.3
3964	DOTTIE C125 1-1/4 AL C COND BODY	1	7.29	2.91	39.9
3965	DOTTIE C150 1-1/2 AL C COND BODY	1	9.35	3.27	35.0
3971	DOTTIE C75 3/4 AL C COND BODY	6	18.36	6.68	36.4
3981	DOTTIE CN150 1-1/2 COND NIP	1	1.65	0.52	31.5
3987	DOTTIE CN50 1/2 COND NIP	2	0.50	0.16	32.0
3988	DOTTIE CN75 3/4 COND NIP	4	1.63	0.51	31.3
4021	DOTTIE DA-38 3/8 DROP IN ANCHOR	250	183.90	40.22	21.9
4047	DOTTIE DT-260 2X60YD DUCT TAPE	6	43.72	10.66	24.4
31378	DOTTIE DU05 DETECTABLE ORANGE TAPE	-2	-160.22	-38.84	24.2
4064	DOTTIE DWSBX6114 DRYWALL SCR BOX	300	8.55	2.73	31.9
4117	DOTTIE FENW14114 FENDER WASHER	400	24.52	7.84	32.0
4120	DOTTIE FENW38114 FENDER WASHER	100	8.20	2.62	32.0
